Index,Dates,Time,Score,Class
557,11-10-2020, 17:06:33,18.6,snoring
558,11-10-2020, 17:06:36,18.1,snoring
559,11-10-2020, 17:06:37,18.1,snoring
560,11-10-2020, 17:06:38,17.46,snoring
561,11-10-2020, 17:06:39,17.46,snoring
562,11-10-2020, 17:06:41,18.04,snoring
563,11-10-2020, 17:06:42,18.1,snoring
564,11-10-2020, 17:06:42,18.1,snoring
565,11-10-2020, 17:06:44,19.35,snoring
566,11-10-2020, 17:06:45,19.35,snoring
567,11-10-2020, 17:06:45,19.47,snoring
568,11-10-2020, 17:06:46,19.3,snoring
569,11-10-2020, 17:06:47,19.3,snoring
570,11-10-2020, 17:06:47,18.67,snoring
571,11-10-2020, 17:06:48,18.63,snoring
572,11-10-2020, 17:06:48,18.63,snoring
573,11-10-2020, 17:06:49,17.12,snoring
574,11-10-2020, 17:06:50,16.82,snoring
575,11-10-2020, 17:06:52,16.53,snoring
576,11-10-2020, 17:06:53,16.53,snoring
577,11-10-2020, 17:06:54,19.15,snoring
578,11-10-2020, 17:06:54,19.15,snoring
579,11-10-2020, 17:06:55,20.16,snoring
